eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
141,1198,0,5,0,141,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,89.21667146609843,89.31661322778109,0.09994176168265767
142,1199,0,5,0,142,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,89.41661334507853,89.516609356956,0.09999601187746521
143,1200,0,5,0,143,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,89.61669715429844,89.71665123224193,0.09995407794349376
144,1201,0,5,0,144,32,stimuli_orig\Kangaroo3_face.jpg,0,0,0,Kangaroo3_face.jpg,89.81667275637301,89.91664560195113,0.09997284557812236
145,1202,0,5,0,145,20,stimuli_orig\Flower5.jpg,0,0,0,Flower5.jpg,90.01666947203694,90.11663997166079,0.09997049962385063
146,1203,0,5,0,146,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,90.21662073483503,90.3166627860669,0.10004205123186694
147,1204,0,5,0,147,33,stimuli_orig\Leaf1.jpg,0,0,0,Leaf1.jpg,90.41663533840074,90.51661082317787,0.0999754847771328
148,1205,0,5,0,148,28,stimuli_orig\Headphone1.jpg,0,0,0,Headphone1.jpg,90.6166379189508,90.71662806594213,0.09999014699133113
149,1206,0,5,0,149,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,90.81665017656223,90.91660044232958,0.09995026576734745
150,1207,0,5,0,150,42,stimuli_orig\Raccoon3_face.jpg,0,0,0,Raccoon3_face.jpg,91.01662284619397,91.11661944456,0.09999659836603314
151,1208,0,5,0,151,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,91.216626892965,91.31661557373536,0.09998868077036605
152,1209,0,5,1,152,54,stimuli_targets\blacktriangle.jpg,0,0,0,blacktriangle.jpg,91.4166203829418,91.5166222597054,0.10000187676359928
153,1210,0,5,0,153,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,91.61661680536145,91.71662894567544,0.10001214031399286
154,1211,0,5,0,154,7,stimuli_orig\Camel3_body.jpg,1,1,0,Camel3_body.jpg,91.81663199541572,91.91662830053792,0.09999630512220392
155,1212,0,5,0,155,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,92.01662900432393,92.11660595532248,0.09997695099855264
156,1213,0,5,0,156,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,92.2166028469328,92.31659768583313,0.09999483890032934
157,1214,0,5,0,157,39,stimuli_orig\Onion2.jpg,0,0,0,Onion2.jpg,92.41661627752183,92.51661698130783,0.10000070378600867
158,1215,0,5,0,158,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,92.61659246608451,92.71660871181894,0.10001624573442314
159,1216,0,5,0,159,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,92.8165862493056,92.91658284767163,0.09999659836603314
160,1217,0,5,0,160,34,stimuli_orig\Lynx1_body.jpg,0,0,0,Lynx1_body.jpg,93.0166002663832,93.11658190928983,0.09998164290664135
161,1218,0,5,0,161,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,93.21658701174101,93.3165982723217,0.10001126058068621
162,1219,0,5,0,162,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,93.4166036680167,93.51659205554279,0.09998838752608208
163,1220,0,5,0,163,25,stimuli_orig\Goat2_face.jpg,0,0,0,Goat2_face.jpg,93.61657985657985,93.71658642525244,0.1000065686725975
164,1221,0,5,0,164,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,93.81658918174844,93.91658695309206,0.09999777134362375
165,1222,0,5,0,165,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,94.01660114611605,94.11658102955698,0.09997988344093756
166,1223,0,5,0,166,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,94.21657674819062,94.31653053288937,0.09995378469875504
167,1224,0,5,0,167,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,94.41657493007597,94.51658853661138,0.10001360653541269
168,1225,0,5,0,168,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,94.61656343489949,94.71656208597551,0.0999986510760209
169,1226,0,5,0,169,31,stimuli_orig\Kangaroo1_face.jpg,0,0,0,Kangaroo1_face.jpg,94.81655809785298,94.91655322999804,0.09999513214506806
170,1227,0,5,0,170,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,95.01655422702834,95.11655199837196,0.09999777134362375
171,1228,0,5,0,171,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,95.21655006295941,95.31652290853754,0.09997284557812236
172,1229,0,5,0,172,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,95.4165476583562,95.51654660267695,0.09999894432075962
173,1230,0,5,0,173,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,95.61655082539482,95.71654742376086,0.09999659836603314
174,1231,0,5,0,174,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,95.81653405182078,95.91653152992012,0.09999747809933979
175,1232,0,5,0,175,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,96.01653223370613,96.11652736585074,0.09999513214461331
176,1233,0,5,0,176,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,96.21652601692722,96.31648478677926,0.09995876985203722
177,1234,0,5,0,177,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,96.41653006369825,96.51651434580435,0.09998428210610655
178,1235,0,5,0,178,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,96.61647575485449,96.71651282093399,0.10003706607949425
